times(s), positions(rads), velocities(rads^-1)
8.747100000000000364e+02,-4.815263138240180041e-01,-2.092889813129214839e-11
8.750199999999999818e+02,-4.815263138307290802e-01,-2.093953421499432249e-11
8.753300000000000409e+02,-4.815263138374401564e-01,-2.095052871696113252e-11
8.756699999999999591e+02,-4.815263138448013791e-01,-2.096248169257128068e-11
8.759400000000000546e+02,-4.815263138506473695e-01,-2.097193401365860476e-11
8.761299999999999955e+02,-4.815263138547631883e-01,-2.097874860616866675e-11
8.763099999999999454e+02,-4.815263138586693970e-01,-2.098494722146595825e-11
8.764700000000000273e+02,-4.815263138621421746e-01,-2.099047266289845008e-11
8.766799999999999500e+02,-4.815263138667003062e-01,-2.099788669387615576e-11
8.768600000000000136e+02,-4.815263138706065149e-01,-2.100431337402773130e-11
8.770099999999999909e+02,-4.815263138738625770e-01,-2.100937411166401335e-11
8.771599999999999682e+02,-4.815263138771168627e-01,-2.101459053455224286e-11
8.773099999999999454e+02,-4.815263138803729248e-01,-2.101994129247493818e-11
8.774500000000000455e+02,-4.815263138834122714e-01,-2.102459201401456905e-11
8.777899999999999636e+02,-4.815263138907948104e-01,-2.103647263040543570e-11
8.780099999999999909e+02,-4.815263138955820921e-01,-2.104420385492020694e-11
8.782599999999999909e+02,-4.815263139010212967e-01,-2.105305268479216063e-11
8.785099999999999909e+02,-4.815263139064605014e-01,-2.106156804714403774e-11
8.788500000000000227e+02,-4.815263139138572512e-01,-2.107352565359850636e-11
8.790499999999999545e+02,-4.815263139182093255e-01,-2.108058493850428637e-11
8.792799999999999727e+02,-4.815263139232133227e-01,-2.108842633704172088e-11
8.795000000000000000e+02,-4.815263139280077098e-01,-2.109618247663080041e-11
8.800299999999999727e+02,-4.815263139395682401e-01,-2.111448163027284993e-11
8.802599999999999909e+02,-4.815263139445846718e-01,-2.112265679502805256e-11
8.804800000000000182e+02,-4.815263139493826117e-01,-2.113019210009026614e-11
8.809500000000000455e+02,-4.815263139596339670e-01,-2.114662040715571657e-11
8.813099999999999454e+02,-4.815263139675032278e-01,-2.115916511515812087e-11
8.816900000000000546e+02,-4.815263139758183542e-01,-2.117220989655902140e-11
8.820499999999999545e+02,-4.815263139837089312e-01,-2.118500215242037443e-11
8.830399999999999636e+02,-4.815263140054302227e-01,-2.121919348881450043e-11
8.839700000000000273e+02,-4.815263140258654317e-01,-2.125124782076800818e-11
8.848799999999999955e+02,-4.815263140458903024e-01,-2.128289742980832764e-11
8.859099999999999682e+02,-4.815263140685779319e-01,-2.131816422471807008e-11
8.868500000000000227e+02,-4.815263140893328853e-01,-2.135067093872701831e-11
8.873200000000000500e+02,-4.815263140997103619e-01,-2.136687422776303591e-11
8.880299999999999727e+02,-4.815263141154098037e-01,-2.139125950129437609e-11
8.887799999999999727e+02,-4.815263141320098583e-01,-2.141703545807569807e-11
8.891699999999999591e+02,-4.815263141406429526e-01,-2.159600931533678662e-11
8.895599999999999454e+02,-4.928737400478784281e-01,-1.083676617588660990e-01
8.898899999999999864e+02,-5.467270127507699584e-01,-1.967820920121101103e-01
8.902500000000000000e+02,-6.132381345594790645e-01,-1.461192808189097081e-01
8.906100000000000136e+02,-6.373695397234140358e-01,-1.000456495711933468e-11
8.909199999999999591e+02,-6.370091407232454372e-01,1.876268793630670589e-02
8.912400000000000091e+02,-6.060403203087467716e-01,1.602081602388111814e-01
8.916499999999999773e+02,-5.282313165831311608e-01,1.853738196257844750e-01
8.919199999999999591e+02,-4.882958270760129338e-01,9.909321539284048075e-02
8.922400000000000091e+02,-4.783497300946262243e-01,-2.235432918205141226e-11
8.927200000000000273e+02,-4.988617024939738798e-01,-1.305030797955833155e-01
8.930399999999999636e+02,-5.548377660914507459e-01,-1.994752071843146624e-01
8.933700000000000045e+02,-6.146839410693214489e-01,-1.422893518078169883e-01
8.937100000000000364e+02,-6.369181914498902586e-01,-9.976997382161493966e-12
8.940099999999999909e+02,-6.368789196088631144e-01,1.439984345335729469e-03
8.944600000000000364e+02,-5.953854593036300713e-01,1.715997319737177229e-01
8.947200000000000273e+02,-5.456165224807785208e-01,1.989899251747328512e-01
8.949400000000000546e+02,-5.051910769052323502e-01,1.586235355183645279e-01
8.952300000000000182e+02,-4.755407804647937553e-01,3.319530248312450166e-02
8.955900000000000318e+02,-4.745230983534520774e-01,-2.002101856072732148e-11
8.958099999999999454e+02,-4.837586235233866105e-01,-9.729492045569122782e-02
8.960199999999999818e+02,-5.127172770904300236e-01,-1.716956610949984252e-01
8.962400000000000091e+02,-5.547037044273013251e-01,-1.997865612693027759e-01
8.965700000000000500e+02,-6.124278078437308537e-01,-1.260221351125876965e-01
8.967799999999999727e+02,-6.283145042244031586e-01,-2.453271167284462942e-02
8.970099999999999909e+02,-6.287941009933204484e-01,-1.217041346059414600e-11
8.971699999999999591e+02,-6.287941009954538529e-01,-1.213974841413727895e-11
8.973500000000000227e+02,-6.287941009978537110e-01,-1.212943998608948222e-11
8.975499999999999545e+02,-6.287941010005200226e-01,-1.213246502377513924e-11
8.977200000000000273e+02,-6.287941010027884303e-01,-1.213912585863624121e-11
8.979199999999999591e+02,-6.287941010054529656e-01,-1.214846253817770767e-11
8.980900000000000318e+02,-6.287941010077213733e-01,-1.215627623372332862e-11
8.982899999999999636e+02,-6.287941010103876849e-01,-1.216592788353691673e-11
8.984900000000000091e+02,-6.287941010130557729e-01,-1.217573517187337645e-11
8.986699999999999591e+02,-6.287941010154556309e-01,-1.218425353919999866e-11
8.988400000000000318e+02,-6.287941010177258150e-01,-1.219266144963560462e-11
8.990099999999999909e+02,-6.287941010200102099e-01,-1.220107860007577220e-11
8.991699999999999591e+02,-6.287941010221613780e-01,-1.220861895101489885e-11
8.993700000000000045e+02,-6.287941010248490059e-01,-1.221854019973328421e-11
8.995599999999999454e+02,-6.287941010274034070e-01,-1.222755440491422151e-11
8.997200000000000273e+02,-6.287941010295545752e-01,-1.223541391927731987e-11
8.998999999999999773e+02,-6.287941010319739732e-01,-1.224432668379247138e-11
9.000700000000000500e+02,-6.287941010342601444e-01,-1.225263741079054069e-11
9.002799999999999727e+02,-6.287941010370827755e-01,-1.226263048009661245e-11
9.006000000000000227e+02,-6.287941010413833354e-01,-1.227823184643260805e-11
9.009500000000000455e+02,-6.287941010460889046e-01,-1.229533927865691296e-11
9.011499999999999773e+02,-6.287941010487783089e-01,-1.230495618293503973e-11
9.013700000000000045e+02,-6.287941010517519302e-01,-1.231570756275617319e-11
9.016299999999999955e+02,-6.287941010552744459e-01,-1.232823142914024928e-11
9.018400000000000318e+02,-6.287941010581201695e-01,-1.233833859500400854e-11
9.020399999999999636e+02,-6.287941010608308900e-01,-1.234798738295754562e-11
9.022699999999999818e+02,-6.287941010639466199e-01,-1.235925872846810422e-11
9.025599999999999454e+02,-6.287941010678759213e-01,-1.237325752158674494e-11
9.027500000000000000e+02,-6.287941010704516387e-01,-1.238251804709291384e-11
9.029700000000000273e+02,-6.287941010734323655e-01,-1.239330688490648187e-11
9.031799999999999500e+02,-6.287941010762780891e-01,-1.240316993668803530e-11
9.033799999999999955e+02,-6.287941010789888097e-01,-1.241301020461146886e-11
9.036699999999999591e+02,-6.287941010829216637e-01,-1.242702979576350775e-11
9.038899999999999864e+02,-6.287941010859272595e-01,-1.243747187720781431e-11
9.041200000000000045e+02,-6.287941010890678584e-01,-1.244882186120301243e-11
9.042799999999999727e+02,-6.287941010912545536e-01,-1.245640780056666292e-11
9.045399999999999636e+02,-6.287941010948054910e-01,-1.246902818165231613e-11
9.047699999999999818e+02,-6.287941010979460899e-01,-1.247985706360581408e-11
9.050000000000000000e+02,-6.287941011010884651e-01,-1.249097602710312194e-11
9.052000000000000455e+02,-6.287941011038205019e-01,-1.250075393182601101e-11
9.053999999999999773e+02,-6.287941011065507624e-01,-1.251038377627389693e-11
9.056499999999999773e+02,-6.287941011099666966e-01,-1.252231744473703189e-11
9.058099999999999454e+02,-6.287941011121516155e-01,-1.253009449728500961e-11
9.059900000000000091e+02,-6.287941011146100934e-01,-1.253891440844925378e-11
9.062400000000000091e+02,-6.287941011180455675e-01,-1.255098091412149374e-11
9.064299999999999500e+02,-6.287941011206603648e-01,-1.255991558103843173e-11
9.066200000000000045e+02,-6.287941011232769384e-01,-1.256917198484158589e-11
9.068300000000000409e+02,-6.287941011261670710e-01,-1.257908970187983065e-11
9.069800000000000182e+02,-6.287941011282329740e-01,-1.258637737744266155e-11
9.071599999999999682e+02,-6.287941011307109918e-01,-1.259503249150302842e-11
9.073899999999999864e+02,-6.287941011338764596e-01,-1.260620540750255646e-11
9.077100000000000364e+02,-6.287941011382818246e-01,-1.262149033523143169e-11
9.079800000000000182e+02,-6.287941011419979631e-01,-1.263455913431252710e-11
9.082400000000000091e+02,-6.287941011455773221e-01,-1.264699480431931417e-11
9.085399999999999636e+02,-6.287941011497144572e-01,-1.266118360332655655e-11
9.088200000000000500e+02,-6.287941011535993496e-01,-1.267457692601879706e-11
9.090399999999999636e+02,-6.287941011566511307e-01,-1.268546786456040113e-11
9.093300000000000409e+02,-6.287941011606745789e-01,-1.269908972308440400e-11
9.095800000000000409e+02,-6.287941011641438038e-01,-1.271101962860705059e-11
9.098099999999999454e+02,-6.287941011673341407e-01,-1.272217502541731603e-11
9.099900000000000091e+02,-6.287941011698316984e-01,-1.273067446268242288e-11
9.101599999999999682e+02,-6.287941011721907003e-01,-1.273878314958146092e-11
9.103099999999999454e+02,-6.287941011742725905e-01,-1.274614284056308664e-11
9.105299999999999727e+02,-6.287941011773243716e-01,-1.275649031235741725e-11
9.107200000000000273e+02,-6.287941011799604851e-01,-1.276559071779100459e-11
9.110800000000000409e+02,-6.287941011849733641e-01,-1.278274989822607662e-11
9.113500000000000227e+02,-6.287941011887481224e-01,-1.279556924168608213e-11
9.116699999999999591e+02,-6.287941011932227653e-01,-1.281090908436344649e-11
9.120499999999999545e+02,-6.287941011985394013e-01,-1.282915599745852144e-11
9.123600000000000136e+02,-6.287941012028914756e-01,-1.284388414216059847e-11
9.126799999999999500e+02,-6.287941012073821057e-01,-1.285918938295927029e-11
9.129099999999999682e+02,-6.287941012106115224e-01,-1.286998432515634979e-11
9.132100000000000364e+02,-6.287941012148214881e-01,-1.288439560212416689e-11
9.135599999999999454e+02,-6.287941012197544310e-01,-1.290103750894376587e-11
9.141299999999999955e+02,-6.287941012278173147e-01,-1.292820665575891179e-11
9.146699999999999591e+02,-6.287941012354556491e-01,-1.295387580973578427e-11
9.151499999999999773e+02,-6.287941012422448850e-01,-1.297646500370599036e-11
